customer_id,first_name,last_name,email,country_code,state_province,kyc_status,risk_tier,credit_score,annual_income,account_balance,account_created_at,account_tier,has_crypto_wallet,is_pep
C30926,Wei,Robinson,wei.robinson185@fintechmail.io,US,GA,Verified,Critical,816,204181,60193.0,2021-03-13,VIP,0,0
C65392,Karen,Martinez,karen.martinez907@fintechmail.io,CA,N/A,Pending,Medium,,87726,8031.98,2023-03-10,Standard,0,0
C54597,Priya,Moore,priya.moore741@fintechmail.io,DE,N/A,Rejected,Medium,668,150452,37868.24,2020-10-17,Standard,1,0
C46421,Emma,Rossi,emma.rossi731@icloud.com,AU,N/A,Verified,Critical,632,75057,17581.97,2022-01-04,Platinum,1,0
C30379,Mary,Smith,mary.smith811@proton.me,DE,N/A,Pending,Low,716,229728,63293.69,2020-07-27,Standard,1,1
C38221,James,Garcia,james.garcia900@gmail.com,US,AZ,Pending,Critical,787,292255,60493.52,2019-09-10,Silver,0,0
C54118,Lisa,Miller,lisa.miller768@gmail.com,DE,N/A,Verified,Critical,652,305860,32593.0,2022-12-01,Silver,1,0
C23396,Michael,Gonzalez,michael.gonzalez958@fintechmail.io,GB,N/A,Rejected,Medium,624,291967,67626.93,2022-09-23,VIP,1,0
C22156,Michael,Robinson,michael.robinson307@icloud.com,US,GA,Verified,Medium,438,123434,70339.74,2023-11-02,Standard,0,0
C59797,Matthew,Lee,matthew.lee731@outlook.com,US,TX,Verified,Low,,35665,10211.03,2021-10-11,Standard,0,0
C22676,Sarah,Thompson,sarah.thompson789@outlook.com,US,OH,Pending,Low,520,281670,25058.96,2024-11-08,VIP,1,0
C57052,David,Sanchez,david.sanchez793@icloud.com,SG,N/A,Verified,Critical,600,41748,1616.8,2020-09-29,Standard,0,0
C55082,Priya,Rodriguez,priya.rodriguez532@outlook.com,SG,N/A,Pending,Medium,539,226501,55708.24,2024-01-29,Standard,0,0
C89131,Liam,Flores,liam.flores224@outlook.com,US,IL,Pending,Low,363,183129,69012.03,2022-03-29,VIP,0,0
C44671,Betty,Wilson,betty.wilson939@outlook.com,DE,N/A,Verified,Critical,495,47128,52004.99,2019-09-19,Standard,0,0
C15695,Mary,Sanchez,mary.sanchez933@fintechmail.io,US,VA,Under Review,Critical,797,270293,12196.25,2023-05-23,Gold,1,0
C70217,James,Jones,james.jones981@outlook.com,AU,N/A,Rejected,Medium,682,253528,23838.02,2020-10-28,Platinum,1,0
C80284,Thomas,Gonzalez,thomas.gonzalez17@gmail.com,CA,N/A,Rejected,Critical,440,213285,60440.83,2020-05-22,Gold,0,0
C26361,Christopher,Gonzalez,christopher.gonzalez438@proton.me,DE,N/A,Under Review,Low,833,119777,71974.2,2023-12-13,VIP,0,0
C59615,Kimberly,Johnson,kimberly.johnson127@fintechmail.io,CA,N/A,Under Review,Low,780,97339,38707.5,2020-06-29,Gold,1,0
C20328,John,Smith,john.smith841@icloud.com,SG,N/A,Under Review,Low,742,125125,63739.94,2024-06-01,Standard,1,0
C82357,Joseph,Ramirez,joseph.ramirez738@proton.me,AU,N/A,Rejected,Low,616,110569,72290.52,2021-02-03,Silver,0,0
C48427,Patricia,Miller,patricia.miller545@outlook.com,GB,N/A,Under Review,Medium,393,69712,52179.06,2024-10-09,Silver,1,1
C92397,Thomas,Miller,thomas.miller640@icloud.com,AU,N/A,Verified,Low,407,186004,59373.7,2019-09-19,Gold,0,0
C91070,Barbara,Tanaka,barbara.tanaka327@proton.me,AU,N/A,Rejected,Critical,538,48969,72622.67,2019-11-08,Silver,1,0
C57400,Thomas,Torres,thomas.torres779@fintechmail.io,IN,N/A,Rejected,Critical,574,174706,66763.89,2024-03-08,VIP,0,0
C85674,Sarah,Thompson,sarah.thompson960@gmail.com,IN,N/A,Rejected,Medium,557,55556,51372.49,2024-09-14,Standard,1,0
C35203,Michelle,Ramirez,michelle.ramirez408@fintechmail.io,SG,N/A,Verified,Low,534,39245,40110.61,2023-10-15,VIP,1,0
C19116,Sandra,Patel,sandra.patel525@proton.me,CA,N/A,Verified,High,593,284845,53005.05,2024-07-20,VIP,0,0
C16006,Andrew,Perez,andrew.perez495@proton.me,DE,N/A,Pending,Low,847,77417,48772.7,2024-05-22,Silver,1,0
C96673,Sandra,Jackson,sandra.jackson898@fintechmail.io,GB,N/A,Under Review,Low,,300626,12227.67,2023-10-04,Standard,0,0
C39871,Patricia,Harris,patricia.harris575@outlook.com,GB,N/A,Under Review,Low,680,249632,5405.57,2024-06-05,Platinum,0,0
C47930,Kimberly,Hill,kimberly.hill107@fintechmail.io,US,WA,Verified,Low,646,181478,64215.9,2021-07-04,VIP,0,0
C20458,Daniel,Wilson,daniel.wilson425@outlook.com,US,FL,Under Review,Medium,629,181530,69294.69,2020-10-21,VIP,0,0
C40512,John,Moore,john.moore660@proton.me,FR,N/A,Verified,Low,615,84924,29896.21,2020-05-05,Platinum,0,0
C23238,Jessica,Brown,jessica.brown150@yahoo.com,US,TX,Verified,Medium,427,217745,12738.68,2020-01-13,Silver,0,0
C59823,Aarav,Davis,aarav.davis436@outlook.com,DE,N/A,Verified,High,539,132860,36918.48,2020-02-23,Silver,0,0
C46434,Wei,Smith,wei.smith790@gmail.com,IN,N/A,Verified,Low,664,241833,28013.83,2021-03-17,Platinum,0,0
C69429,Yuki,Gonzalez,yuki.gonzalez20@outlook.com,FR,N/A,Verified,Critical,782,39184,52206.31,2020-02-02,Standard,0,0
C93320,Sofia,Silva,sofia.silva426@outlook.com,DE,N/A,Verified,High,822,79694,5946.23,2024-01-20,Standard,0,0
C57819,David,Davis,david.davis974@outlook.com,AU,N/A,Rejected,Critical,694,315500,40174.29,2021-01-26,Silver,0,0
C31319,Emily,Torres,emily.torres637@fintechmail.io,DE,N/A,Under Review,Medium,568,178366,307.1,2019-10-12,VIP,0,0
C58520,Donna,Clark,donna.clark295@icloud.com,DE,N/A,Pending,High,638,131633,37059.17,2023-10-17,Standard,0,0
C56566,Charles,Torres,charles.torres637@icloud.com,FR,N/A,Pending,Medium,536,50666,68197.68,2020-08-12,Platinum,0,0
C37460,Karen,Garcia,karen.garcia353@icloud.com,CA,N/A,Rejected,Low,744,253385,63289.88,2020-01-20,Gold,0,0
C97841,Betty,Williams,betty.williams554@outlook.com,AU,N/A,Pending,Low,681,238466,12189.14,2021-03-11,Silver,0,0
C44993,Mateo,Hill,mateo.hill621@gmail.com,AU,N/A,Verified,Critical,694,52146,37393.6,2023-09-22,Silver,0,0
C99593,Michelle,Muller,michelle.muller498@yahoo.com,FR,N/A,Rejected,Low,376,35571,65171.68,2023-07-31,Silver,0,0
C94939,Emily,Silva,emily.silva869@outlook.com,FR,N/A,Verified,Critical,644,135848,73741.74,2022-09-12,Platinum,0,0
C19358,Jessica,Scott,jessica.scott977@icloud.com,FR,N/A,Rejected,Low,510,48097,54536.85,2021-04-09,Platinum,0,0
C89840,Wei,Thompson,wei.thompson353@fintechmail.io,US,TX,Verified,High,695,245118,22068.9,2021-07-14,Standard,1,0
C93227,John,Jackson,john.jackson993@yahoo.com,DE,N/A,Verified,Medium,628,301979,714.99,2020-01-16,Platinum,0,0
C32431,Anthony,Lopez,anthony.lopez176@yahoo.com,US,TX,Rejected,Medium,598,135522,7569.14,2022-11-02,Platinum,1,0
C80010,Sandra,Williams,sandra.williams594@fintechmail.io,SG,N/A,Verified,Medium,740,178652,58554.86,2019-11-19,Standard,0,0
C42087,Anthony,Nguyen,anthony.nguyen832@yahoo.com,US,MA,Under Review,Low,612,112013,47617.63,2022-02-15,Platinum,0,0
C31417,Lisa,Martin,lisa.martin787@fintechmail.io,SG,N/A,Pending,Low,362,190864,64579.84,2022-04-02,Standard,1,0
C70589,Christopher,Clark,christopher.clark599@proton.me,SG,N/A,Verified,High,804,66712,69735.28,2024-02-22,Platinum,0,0
C59735,Mateo,Young,mateo.young28@outlook.com,AU,N/A,Verified,Critical,668,193246,940.56,2022-07-23,Standard,0,0
C45382,Anthony,Silva,anthony.silva487@fintechmail.io,SG,N/A,Under Review,Critical,740,233641,21794.6,2019-12-13,Platinum,0,0
C93886,Priya,Torres,priya.torres511@proton.me,SG,N/A,Verified,Low,720,195479,35721.39,2019-11-15,Silver,0,0
C83000,William,Rossi,william.rossi715@gmail.com,SG,N/A,Pending,High,791,295044,420.98,2023-01-11,Gold,1,0
C38785,Betty,Martin,betty.martin71@fintechmail.io,FR,N/A,Verified,Medium,553,135852,5868.51,2020-05-23,Standard,0,0
C99733,Matthew,Young,matthew.young407@icloud.com,US,MI,Verified,Medium,355,100244,59061.65,2022-08-14,Gold,0,0
C52504,Sarah,Martinez,sarah.martinez229@gmail.com,US,NC,Under Review,Low,733,94387,62661.51,2020-02-24,VIP,0,0
C17331,Lisa,Williams,lisa.williams277@icloud.com,CA,N/A,Verified,Low,555,68963,41015.03,2024-05-11,Standard,0,0
C40021,Lisa,Garcia,lisa.garcia129@fintechmail.io,CA,N/A,Rejected,High,784,260288,68365.54,2024-01-14,VIP,0,0
C14207,Karen,Walker,karen.walker990@proton.me,SG,N/A,Rejected,Medium,456,209799,51168.02,2021-02-20,VIP,0,0
C51347,Emily,Dubois,emily.dubois660@yahoo.com,US,WA,Verified,Critical,406,232776,49249.5,2021-11-03,Gold,1,0
C62581,Ashley,Harris,ashley.harris29@outlook.com,SG,N/A,Rejected,Medium,389,179543,47202.47,2022-01-30,Gold,1,0
C45093,Sofia,Lee,sofia.lee49@fintechmail.io,AU,N/A,Verified,Low,729,159283,28134.82,2020-02-23,Silver,0,0
C18675,Barbara,Nguyen,barbara.nguyen285@icloud.com,SG,N/A,Verified,Low,602,296474,19161.24,2020-09-08,Platinum,0,0
C37653,Andrew,Martinez,andrew.martinez700@yahoo.com,SG,N/A,Pending,Low,469,289226,67978.74,2019-09-11,Standard,0,0
C84341,William,Smith,william.smith891@outlook.com,DE,N/A,Under Review,Medium,413,45286,71550.02,2021-07-11,Platinum,1,0
C51245,Aarav,Wilson,aarav.wilson807@outlook.com,US,MI,Under Review,Critical,652,290672,39739.92,2020-02-16,Standard,1,0
C37869,Michelle,Lopez,michelle.lopez756@gmail.com,SG,N/A,Under Review,Critical,459,64814,52551.74,2024-11-24,Standard,1,0
C95909,Charles,Lopez,charles.lopez146@fintechmail.io,DE,N/A,Rejected,Medium,437,100773,12178.28,2021-02-09,VIP,0,0
C75435,Barbara,Williams,barbara.williams483@icloud.com,DE,N/A,Verified,Critical,473,163054,10383.62,2021-09-08,Gold,0,0
C61856,Sandra,Young,sandra.young700@gmail.com,AU,N/A,Verified,Medium,646,104605,1218.82,2020-01-08,Gold,0,0
C94259,Sandra,Rodriguez,sandra.rodriguez86@gmail.com,SG,N/A,Verified,Medium,466,22104,21268.67,2023-10-30,Standard,0,0
C70142,Betty,Clark,betty.clark278@icloud.com,FR,N/A,Pending,Medium,671,250745,71080.05,2023-08-16,Platinum,1,0
C28726,Sarah,Lewis,sarah.lewis198@icloud.com,US,GA,Verified,Medium,468,86616,54352.05,2022-01-29,Platinum,0,0
C44718,Kimberly,Thomas,kimberly.thomas483@gmail.com,AU,N/A,Verified,Low,526,302067,5848.36,2021-08-31,VIP,0,0
C28301,Barbara,Lee,barbara.lee724@fintechmail.io,US,NJ,Verified,Low,708,211682,18693.31,2024-01-28,Standard,1,0
C42325,Susan,Allen,susan.allen987@icloud.com,IN,N/A,Under Review,Medium,742,197973,19558.78,2023-08-23,Standard,0,0
C83579,Wei,Wilson,wei.wilson920@outlook.com,US,MA,Verified,Critical,716,255451,7241.84,2021-12-02,Gold,0,0
C80644,James,Hill,james.hill194@icloud.com,GB,N/A,Verified,High,669,145192,35216.74,2021-09-21,Gold,0,0
C44438,William,Williams,william.williams127@icloud.com,US,GA,Verified,Medium,413,182472,50901.17,2022-01-24,Standard,0,0
C86622,Joseph,Allen,joseph.allen462@yahoo.com,GB,N/A,Rejected,High,437,23339,21590.13,2020-09-13,Platinum,0,0
C66155,Michelle,Sanchez,michelle.sanchez940@gmail.com,US,MA,Rejected,Medium,620,204280,56688.07,2020-06-12,Platinum,1,0
C86484,Barbara,Taylor,barbara.taylor159@yahoo.com,US,FL,Verified,Low,443,24566,14834.84,2023-10-23,Silver,0,0
C62350,Sandra,Jones,sandra.jones82@outlook.com,US,PA,Pending,Low,422,318209,45995.27,2020-03-20,Silver,0,0
C57447,Mary,Moore,mary.moore31@fintechmail.io,US,NC,Pending,Low,722,295526,4410.46,2023-10-31,Gold,0,0
C38746,Lisa,Chen,lisa.chen303@proton.me,DE,N/A,Rejected,Medium,608,176156,74983.89,2019-09-14,Standard,0,0
C28131,Ashley,Thomas,ashley.thomas748@icloud.com,AU,N/A,Rejected,High,622,30889,50532.24,2019-12-14,VIP,0,0
C76784,Emily,Lee,emily.lee900@icloud.com,CA,N/A,Verified,Medium,537,95857,73177.74,2020-03-12,Platinum,0,0
C74686,Yuki,Martinez,yuki.martinez63@icloud.com,US,TX,Verified,High,612,209459,25304.83,2020-05-29,Standard,1,0
C21915,Mateo,Martinez,mateo.martinez633@fintechmail.io,US,VA,Under Review,Low,515,308525,42473.45,2021-06-29,VIP,0,0
C16175,Robert,Harris,robert.harris781@proton.me,FR,N/A,Verified,High,451,235589,56635.07,2020-10-10,VIP,1,0
C24371,Linda,Allen,linda.allen529@gmail.com,FR,N/A,Verified,Medium,803,260326,17348.45,2022-02-24,Platinum,0,0
C30033,Joseph,Williams,joseph.williams783@proton.me,US,VA,Rejected,Low,376,76272,29337.05,2023-01-27,VIP,1,0
C92240,Mateo,Taylor,mateo.taylor822@yahoo.com,US,VA,Rejected,Medium,424,319302,15789.72,2023-12-15,Platinum,0,0
C30969,Matthew,Anderson,matthew.anderson564@proton.me,US,FL,Under Review,Critical,828,78036,42215.63,2020-11-20,Standard,0,0
C99192,Andrew,Kim,andrew.kim744@yahoo.com,FR,N/A,Verified,Critical,684,164950,15653.95,2024-08-25,VIP,0,0
C65333,William,Lee,william.lee741@fintechmail.io,DE,N/A,Verified,Low,779,120292,1475.92,2021-04-02,Silver,0,0
C88172,Jessica,Martinez,jessica.martinez949@outlook.com,US,IL,Verified,Medium,669,116442,27130.65,2021-05-02,VIP,1,0
C18326,Wei,Allen,wei.allen377@outlook.com,CA,N/A,Under Review,Low,744,113964,33637.12,2020-03-11,VIP,0,0
C60432,Sofia,Dubois,sofia.dubois194@fintechmail.io,FR,N/A,Rejected,High,369,213093,61681.38,2022-12-03,Silver,0,0
C60019,Linda,Jones,linda.jones259@fintechmail.io,US,VA,Verified,Low,570,23321,47546.12,2021-04-08,Platinum,0,0
C88104,Steven,Walker,steven.walker846@icloud.com,CA,N/A,Verified,Medium,687,23874,29366.85,2021-07-14,Standard,0,0
C71348,Mateo,Scott,mateo.scott409@proton.me,IN,N/A,Rejected,Medium,483,115470,35877.12,2022-08-12,VIP,0,0
C79352,Ashley,Walker,ashley.walker703@outlook.com,GB,N/A,Verified,Medium,355,124649,33784.06,2024-05-30,VIP,1,0
C42953,Richard,Harris,richard.harris314@proton.me,US,NY,Verified,Medium,526,284906,1979.92,2021-05-22,Platinum,1,0
C82512,Liam,Hernandez,liam.hernandez382@proton.me,IN,N/A,Verified,Medium,759,59138,17078.36,2023-08-28,VIP,0,0
C11504,Daniel,Martinez,daniel.martinez854@outlook.com,GB,N/A,Verified,High,550,108212,9689.07,2020-04-21,Silver,0,0
C99166,Susan,Smith,susan.smith552@fintechmail.io,US,AZ,Under Review,Medium,649,59299,24023.89,2022-02-21,Silver,0,0
C25014,Michelle,Harris,michelle.harris972@yahoo.com,FR,N/A,Verified,Medium,640,299166,7843.14,2021-03-12,Platinum,0,0
C99353,Joseph,Walker,joseph.walker183@fintechmail.io,CA,N/A,Verified,High,839,184409,26142.49,2019-10-10,Standard,1,0
C80381,Donald,Robinson,donald.robinson10@yahoo.com,FR,N/A,Under Review,Low,732,250101,8231.91,2022-08-15,Gold,0,0
C44973,Steven,Lopez,steven.lopez711@fintechmail.io,CA,N/A,Rejected,Medium,512,257900,27155.17,2020-06-19,Platinum,0,0
C94012,Carlos,Perez,carlos.perez346@yahoo.com,US,AZ,Verified,Critical,438,281314,28288.59,2019-10-16,Platinum,1,0
C54587,Wei,Wright,wei.wright12@yahoo.com,CA,N/A,Verified,High,708,255849,54640.77,2022-04-02,Gold,0,0
C24621,Amara,Kim,amara.kim823@fintechmail.io,DE,N/A,Under Review,Medium,457,60312,14036.92,2024-02-14,VIP,0,0
C48469,Aarav,Young,aarav.young780@yahoo.com,US,NY,Rejected,High,567,305367,21534.78,2019-12-29,VIP,0,0
C66985,Mary,Lee,mary.lee579@fintechmail.io,DE,N/A,Verified,Medium,641,180786,54845.12,2022-05-12,Platinum,1,0
C30730,Margaret,Chen,margaret.chen362@gmail.com,IN,N/A,Under Review,Low,732,154171,12323.49,2021-09-10,VIP,0,0
C69470,Christopher,Silva,christopher.silva158@gmail.com,US,MI,Rejected,Low,792,197000,2101.85,2020-05-02,Platinum,0,0
C10425,Patricia,Robinson,patricia.robinson310@outlook.com,GB,N/A,Rejected,Low,533,207713,2149.87,2022-12-13,Standard,0,0
C44522,Wei,Taylor,wei.taylor423@yahoo.com,IN,N/A,Verified,Medium,657,112025,28071.77,2022-04-30,VIP,0,0
C75612,Kimberly,Martinez,kimberly.martinez846@icloud.com,IN,N/A,Under Review,Critical,674,250163,73636.7,2019-08-26,Gold,0,0
C33416,Nancy,Anderson,nancy.anderson157@gmail.com,AU,N/A,Verified,Low,792,108625,48603.7,2019-12-15,Silver,0,0
C76542,Donna,Martin,donna.martin136@outlook.com,GB,N/A,Rejected,Medium,742,286716,22661.58,2020-02-14,VIP,0,0
C23947,Anthony,Miller,anthony.miller443@icloud.com,DE,N/A,Verified,High,493,272087,32650.65,2021-01-19,Platinum,0,0
C91959,Liam,Muller,liam.muller137@proton.me,IN,N/A,Under Review,Medium,803,39940,29840.31,2023-07-03,Platinum,1,0
C49117,Michelle,Moore,michelle.moore988@outlook.com,US,CA,Pending,High,416,279921,65161.68,2022-02-06,Standard,0,0
C93748,Joseph,Patel,joseph.patel366@icloud.com,DE,N/A,Verified,Low,614,272737,12826.05,2021-01-08,VIP,0,0
C76540,Sofia,Hill,sofia.hill323@gmail.com,SG,N/A,Under Review,Medium,391,160141,50304.35,2021-09-14,Gold,1,0
C89818,Donna,Kim,donna.kim625@yahoo.com,US,WA,Verified,Low,525,190327,34869.15,2022-07-23,Silver,0,0
C36071,Sarah,Walker,sarah.walker468@yahoo.com,CA,N/A,Pending,Medium,494,306678,67110.15,2020-08-28,Standard,0,0
C30032,Paul,Gonzalez,paul.gonzalez956@gmail.com,AU,N/A,Verified,Critical,372,24068,2537.56,2024-04-12,Platinum,0,0
C59009,Michelle,Scott,michelle.scott317@gmail.com,US,GA,Rejected,Low,802,104006,18673.51,2021-03-03,Silver,0,0
C31174,Priya,Walker,priya.walker983@outlook.com,US,TX,Pending,Low,488,102174,59654.49,2023-11-02,VIP,1,0
C80697,Donald,Scott,donald.scott138@proton.me,AU,N/A,Verified,Medium,401,285809,70053.88,2019-07-26,Platinum,0,0
C79514,James,Smith,james.smith110@outlook.com,DE,N/A,Verified,Medium,,157818,51991.03,2022-08-28,VIP,1,0
C10074,Robert,Taylor,robert.taylor662@gmail.com,SG,N/A,Verified,Medium,848,115720,31990.07,2021-10-23,Platinum,0,0
C88504,Nancy,Martinez,nancy.martinez530@fintechmail.io,US,PA,Rejected,High,549,204916,2402.52,2021-06-15,Gold,0,0
C52487,Matthew,Sharma,matthew.sharma762@fintechmail.io,GB,N/A,Verified,Critical,370,167339,62881.18,2022-05-06,Silver,0,0
C74042,James,Garcia,james.garcia198@proton.me,GB,N/A,Pending,Critical,468,63300,72230.64,2023-11-02,Silver,0,0
C12552,Nancy,Nguyen,nancy.nguyen450@proton.me,DE,N/A,Rejected,Medium,459,318507,5631.61,2019-11-10,Platinum,0,0
C24662,Mary,Perez,mary.perez886@icloud.com,CA,N/A,Verified,Low,655,249892,23332.82,2020-01-08,VIP,1,0
C57576,Sofia,Robinson,sofia.robinson570@icloud.com,SG,N/A,Verified,High,798,25764,46148.42,2024-08-16,Gold,1,0
C50306,Jennifer,Patel,jennifer.patel18@yahoo.com,DE,N/A,Rejected,Low,754,186831,74375.92,2020-10-06,Standard,1,0
C41385,Joshua,Sanchez,joshua.sanchez688@gmail.com,IN,N/A,Verified,Medium,427,251567,66647.97,2024-07-13,Silver,0,0
C17592,Christopher,King,christopher.king648@icloud.com,US,TX,Verified,Low,700,185284,74136.04,2019-10-07,Platinum,0,0
C41571,Donna,Tanaka,donna.tanaka732@icloud.com,FR,N/A,Verified,Low,798,177662,16082.85,2022-09-21,Gold,0,0
C84364,Elizabeth,Robinson,elizabeth.robinson171@proton.me,US,FL,Pending,Medium,577,309375,56739.02,2024-11-08,Standard,0,0
C20322,Kimberly,Anderson,kimberly.anderson385@outlook.com,US,GA,Verified,Low,779,119394,59877.85,2022-08-29,Standard,1,0
C21226,Anthony,Harris,anthony.harris531@outlook.com,GB,N/A,Verified,Low,350,45136,18893.4,2024-07-24,Silver,0,0
C73699,Yuki,Martin,yuki.martin394@fintechmail.io,US,TX,Pending,High,630,251096,41486.55,2023-12-19,Platinum,1,0
C19071,Joshua,Garcia,joshua.garcia485@gmail.com,CA,N/A,Verified,Low,646,89858,53308.83,2023-05-31,Standard,0,0
C79822,Mateo,Martin,mateo.martin35@gmail.com,IN,N/A,Pending,High,433,197253,73359.45,2020-09-07,Silver,0,0
C26483,Sarah,Lee,sarah.lee640@yahoo.com,CA,N/A,Pending,Medium,575,127619,37495.29,2022-11-12,Standard,0,0
C26828,Mark,Perez,mark.perez243@outlook.com,AU,N/A,Verified,Low,825,256350,19095.48,2019-10-31,Platinum,0,1
C96474,Mary,Sharma,mary.sharma185@proton.me,AU,N/A,Under Review,Critical,816,241848,27519.19,2023-07-11,Gold,1,0
C72296,Wei,Lewis,wei.lewis423@yahoo.com,SG,N/A,Under Review,High,694,304199,35348.25,2022-10-01,Gold,0,0
C82063,Charles,Silva,charles.silva630@outlook.com,AU,N/A,Pending,High,494,204168,35891.69,2022-11-02,Standard,0,0
C31643,Linda,Johnson,linda.johnson907@icloud.com,IN,N/A,Verified,Critical,850,258070,38148.87,2021-09-13,Platinum,1,0
C44741,Lisa,Martinez,lisa.martinez858@outlook.com,US,IL,Pending,High,385,42470,41077.71,2022-04-29,Standard,1,0
C79163,Yuki,Walker,yuki.walker869@proton.me,AU,N/A,Verified,Critical,832,60198,18886.32,2023-09-25,Silver,0,0
C89507,Robert,Allen,robert.allen278@proton.me,FR,N/A,Rejected,Low,476,318688,28292.07,2021-05-09,Platinum,0,0
C65461,Mark,Jackson,mark.jackson693@gmail.com,US,MI,Pending,Low,639,44163,26913.47,2023-06-21,Gold,0,0
C37760,Michael,Young,michael.young583@yahoo.com,US,TX,Under Review,Critical,384,275588,19437.84,2022-12-27,Platinum,0,0
C80686,Donna,Harris,donna.harris649@gmail.com,IN,N/A,Verified,Low,493,38696,68699.38,2021-03-26,Standard,0,0
C36365,Donald,Thompson,donald.thompson880@icloud.com,IN,N/A,Verified,Medium,518,215652,61781.17,2019-11-11,Platinum,0,0
C50857,Richard,Chen,richard.chen10@fintechmail.io,IN,N/A,Rejected,High,737,53775,15516.87,2020-10-02,Gold,1,0
C62296,Amara,Martinez,amara.martinez671@icloud.com,CA,N/A,Verified,Medium,510,189039,72273.9,2019-12-07,Gold,0,0
C98039,Liam,Torres,liam.torres459@outlook.com,GB,N/A,Pending,Critical,772,100697,50679.62,2024-03-05,Gold,0,0
